index_name,file_name,index_short_name,ticker,region,category,start_date,end_date
MSCI all country weight,MSCI_All Country World.xlsx,MSCI ACWI,MXWD Index,world,equity,1991-12-31 0:00,2021-11-24 0:00
MSCI world,MSCI World.xlsx,MSCI WORLD,MXWO Index                                                      ,developed,equity,1991-12-31 0:00,2021-11-24 0:00
MSCI x US,MSCI World x US.xlsx,MSCI X US,M1WOU Index                                                     ,world,equity,1991-12-31 0:00,2021-11-24 0:00
MSCI Emerging,MSCI Emerging.xlsx,MSCI EM,MXEF Index                                                      ,emerging,equity,1991-12-31 0:00,2021-11-24 0:00
MSCI World Gross,MSCI World Gross.xlsx,MSCI GROSS,MXWO000G Index                                                  ,world,equity,1991-12-31 0:00,2021-11-24 0:00
MSCI World Value,MSCI World Value.xlsx,MSCI VALUE,MXWO000V Index                                                  ,world,equity,1991-12-31 0:00,2021-11-24 0:00
MSCI World Real Estate,MSCI World Real Estate.xlsx,MSCI REAL ESTATE,MXWO0RE Index                                                   ,world,real estate,1999-12-10 0:00,2021-11-24 0:00
Russel 3000 TR,Russel 300 TR.xlsx,RUSSEL 3000,RU30INTR Index                                                  ,us,equity,1991-12-31 0:00,2021-11-24 0:00
Bloomberg Barclays US AGG,Bloomberg Barclays US AGG.xlsx,US AGG,LBUSTRUU Index                                                  ,us,bond,1991-12-31 0:00,2021-11-24 0:00
Bloomberg Barclays EM AGG,Bloomberg Barclays EM AGG.xlsx,EM AGG,EMUSTRUU Index                                                  ,emerging,bond,1993-01-29 0:00,2021-11-24 0:00
Bloomberg Barclays World AGG,Bloomberg Barclays Global AGG.xlsx,WORLD AGG,LEGATRUU Index                                                  ,world,bond,1991-12-31 0:00,2021-11-24 0:00
Bloomberg Barclays US 1-3 Month Treasury,Bloomberg Barclays US 1-3 month treasury.xlsx,US SHORT TREASURY,LGC3TRUU Index                                                  ,us,bond,1991-12-31 0:00,2021-11-24 0:00
Bloomberg US 7-10 Treasury,Bloomberg US 7-10 Treasury.xlsx,US LONG TREASURY,LT09TRUU Index,us,bond,1992-01-31 0:00,2021-11-26 0:00
Bloomberg US 20+ Treasury,Bloomberg US 20+ Treasury.xlsx,US ULTRA LONG TREASURY,LT11TRUU Index                                                  ,us,bond,1992-02-28 0:00,2021-11-26 0:00
Bloomberg Barclays US Long Treasury Credit,Bloomberg Barclays US Long Gov credit.xlsx,US LONG BOND,BFALTRUU Index                                                  ,us,bond,1991-12-31 0:00,2021-11-24 0:00
Bloomberg Barclays US ABS,Bloomberg Barclays US ABS.xlsx,US ABS,LUABTRUU Index                                                  ,us,bond,1991-12-31 0:00,2021-11-24 0:00
Bloomberg Barclays US High Yield,Bloomberg Barclays US Corp HY.xlsx,US HY,LF98TRUU Index                                                  ,us,bond,1991-12-31 0:00,2021-11-24 0:00
Bloomberg Barclays US Investment Grade,Bloomberg Barclays US Corp IG.xlsx,US IG,LUACTRUU Index                                                  ,us,bond,1991-12-31 0:00,2021-11-24 0:00
Bloomberg Barclays US Inflation Protected,Bloomberg Barclays US Inflation Protected.xlsx,US SHORT TIPS,LBUTTRUU Index                                                  ,us,bond,1997-03-31 0:00,2021-11-24 0:00
Bloomberg Barclays US Inflation Protected 7+,Bloomberg Barclays US Inflation Protected 7-10 year.xlsx,US LONG TIPS,BCIT5T Index                                                    ,us,bond,1997-02-28 0:00,2021-11-24 0:00
Goldmansachs Commodity Index,SNP GSCI TR.xlsx,COMMODITY GSCI,SPGSCITR Index                                                  ,world,commodity,1991-12-31 0:00,2021-11-24 0:00
SNP Metals and Mining Select Industry Index TR,SNP metal and mining.xlsx,COMMODITY MINING,SPSIMMTR Index                                                  ,world,commodity,1999-12-10 0:00,2021-11-24 0:00
SNP Oil Gas Exploration and Production Industry Index TR,SNP oil gas exploration and production.xlsx,COMMODITY OIL,SPSIOPTR Index                                                  ,world,commodity,1999-12-17 0:00,2021-11-24 0:00
SNP global infrastructure TR,SNP global infrastructure.xlsx,INFRASTRUCTURE,SPGTINTR Index                                                  ,world,commodity,2001-11-16 0:00,2021-11-24 0:00
